gender,weight,height,age,activity_level,calories_needed
male,93,174,23,very_active,3004
male,64,172,22,very_active,2491
female,46,166,20,very_active,2133
female,64,169,19,very_active,2484
male,96,193,21,sedentary,2280
male,50,191,20,very_active,2471
female,84,173,18,moderate_exercise,2589
male,96,168,22,sedentary,2087
female,84,178,22,extra_active,3195
male,88,171,23,very_active,2885
male,59,192,22,light_exercise,2089
female,66,153,19,light_exercise,1870
female,82,163,24,sedentary,1869
female,89,152,23,moderate_exercise,2424
male,94,179,22,sedentary,2145
male,84,158,24,sedentary,1856
female,50,174,23,light_exercise,1803
male,66,188,23,extra_active,2962
female,64,157,18,light_exercise,1884
male,65,168,21,light_exercise,1972
male,97,188,21,sedentary,2255
male,80,193,19,sedentary,2100
female,68,154,22,moderate_exercise,2126
male,96,163,21,moderate_exercise,2655
female,42,159,19,moderate_exercise,1795
female,89,169,20,sedentary,2022
male,51,193,24,sedentary,1722
male,69,162,24,light_exercise,1955
female,83,170,22,very_active,2797
female,79,165,19,moderate_exercise,2426
female,43,177,20,light_exercise,1753
male,77,168,24,moderate_exercise,2385
male,53,156,22,light_exercise,1697
male,58,189,19,moderate_exercise,2333
female,73,161,24,light_exercise,2001
male,52,174,24,moderate_exercise,2056
female,44,178,21,very_active,2219
female,88,167,23,moderate_exercise,2554
female,73,166,20,extra_active,2862
female,44,156,23,moderate_exercise,1765
female,47,179,19,extra_active,2532
male,56,165,21,very_active,2286
female,46,151,23,sedentary,1353
female,57,172,22,very_active,2370
female,41,152,23,sedentary,1301
male,58,165,23,sedentary,1602
female,68,169,22,very_active,2528
male,80,182,21,sedentary,2006
female,80,163,22,moderate_exercise,2399
male,56,185,22,light_exercise,1987
male,52,151,22,light_exercise,1640
male,97,188,20,sedentary,2261
male,53,191,24,sedentary,1731
male,71,152,18,moderate_exercise,2184
male,79,196,21,light_exercise,2405
male,63,177,23,sedentary,1752
female,48,159,24,sedentary,1431
male,57,176,22,extra_active,2658
male,88,195,21,moderate_exercise,2841
male,50,195,21,sedentary,1743
female,71,157,22,moderate_exercise,2201
male,51,194,19,moderate_exercise,2273
female,54,153,19,light_exercise,1705
female,83,175,18,moderate_exercise,2593
female,82,161,21,sedentary,1872
male,57,164,20,very_active,2301
male,70,154,18,extra_active,2682
female,56,152,23,moderate_exercise,1913
male,75,174,19,extra_active,3005
female,77,179,20,moderate_exercise,2523
male,62,188,19,sedentary,1847
male,99,163,23,extra_active,3292
male,81,165,20,light_exercise,2173
male,64,182,20,light_exercise,2085
female,57,162,19,very_active,2288
female,51,177,24,moderate_exercise,2070
female,45,154,22,very_active,1969
female,44,179,23,sedentary,1539
female,54,150,18,sedentary,1472
male,55,175,18,sedentary,1671
male,81,185,20,sedentary,2046
female,89,162,21,moderate_exercise,2537
male,96,193,20,light_exercise,2620
female,73,150,19,very_active,2435
female,65,163,19,sedentary,1695
male,88,158,24,extra_active,3014
male,90,173,24,moderate_exercise,2635
female,49,169,21,very_active,2208
female,88,152,21,sedentary,1877
male,62,165,19,sedentary,1674
female,77,169,24,very_active,2666
male,72,176,20,very_active,2689
male,67,195,21,light_exercise,2231
female,44,167,21,very_active,2101
male,69,174,21,sedentary,1814
male,51,191,19,moderate_exercise,2244
male,73,157,18,light_exercise,2008
male,97,187,21,sedentary,2247
male,96,186,21,extra_active,3527
male,57,176,18,extra_active,2696
male,59,183,19,extra_active,2808
male,93,172,20,sedentary,2093
male,51,196,24,sedentary,1745
male,59,155,18,light_exercise,1798
female,73,154,22,extra_active,2701
male,73,182,21,sedentary,1922
female,57,176,22,very_active,2413
female,81,167,18,moderate_exercise,2484
female,43,152,24,light_exercise,1511
male,54,187,19,moderate_exercise,2252
male,95,192,19,sedentary,2273
female,57,155,20,light_exercise,1757
male,88,164,19,sedentary,1979
male,78,153,20,sedentary,1770
female,83,162,21,extra_active,2995
male,65,195,20,extra_active,3055
male,50,164,22,sedentary,1505
female,81,162,18,extra_active,2986
male,68,194,18,extra_active,3119
female,61,162,20,light_exercise,1872
male,53,172,22,moderate_exercise,2068
female,47,154,20,very_active,2021
female,63,163,22,light_exercise,1894
male,53,194,20,sedentary,1778
male,63,162,20,moderate_exercise,2141
male,83,159,19,extra_active,2979
female,83,150,18,sedentary,1820
female,74,170,20,sedentary,1850
female,49,154,19,very_active,2064
female,73,163,22,moderate_exercise,2291
male,69,183,23,very_active,2687
male,52,151,20,moderate_exercise,1864
female,68,153,18,moderate_exercise,2147
female,42,160,21,sedentary,1385
female,56,154,24,light_exercise,1707
female,51,175,22,light_exercise,1833
male,90,174,24,extra_active,3242
male,83,170,19,moderate_exercise,2537
male,64,170,24,moderate_exercise,2203
female,69,175,24,very_active,2592
male,99,195,23,very_active,3334
male,51,199,24,moderate_exercise,2283
male,81,189,18,moderate_exercise,2697
male,74,186,18,sedentary,1982
female,46,159,24,moderate_exercise,1818
female,87,157,22,light_exercise,2173
female,85,165,22,very_active,2778
male,58,161,20,very_active,2286
male,85,188,19,moderate_exercise,2742
male,53,182,21,moderate_exercise,2172
male,70,177,24,extra_active,2898
female,88,151,18,sedentary,1887
male,85,175,20,sedentary,2019
female,52,175,19,extra_active,2580
male,57,188,18,sedentary,1793
female,82,173,18,moderate_exercise,2558
male,78,166,24,light_exercise,2113
female,76,167,24,very_active,2627
male,71,160,24,sedentary,1715
male,67,177,20,very_active,2614
male,59,188,19,extra_active,2867
female,79,154,20,moderate_exercise,2312
male,84,187,24,moderate_exercise,2678
male,66,184,18,moderate_exercise,2416
male,88,167,18,extra_active,3178
female,83,173,19,light_exercise,2276
female,79,173,21,light_exercise,2207
female,64,153,21,sedentary,1596
female,40,155,21,light_exercise,1516
female,45,165,24,extra_active,2280
female,81,173,18,moderate_exercise,2542
male,50,155,23,moderate_exercise,1849
female,53,166,24,very_active,2219
male,63,164,24,moderate_exercise,2130
male,99,162,22,sedentary,2078
female,69,177,24,very_active,2614
female,63,153,21,moderate_exercise,2046
male,82,169,19,sedentary,1944
female,49,173,23,extra_active,2461
female,86,172,18,sedentary,2021
female,74,154,21,moderate_exercise,2227
male,63,172,22,very_active,2474
male,50,164,21,very_active,2172
male,80,162,18,light_exercise,2147
female,66,159,19,extra_active,2656
female,47,153,23,sedentary,1380
female,42,154,23,light_exercise,1521
female,58,168,22,very_active,2344
male,77,190,20,sedentary,2036
male,62,188,23,very_active,2620
male,70,193,18,extra_active,3145
female,83,166,23,light_exercise,2188
male,58,197,24,moderate_exercise,2372
female,82,159,18,sedentary,1875
male,63,176,20,extra_active,2791
female,54,151,20,moderate_exercise,1895
female,50,151,24,sedentary,1395
male,88,199,20,moderate_exercise,2887
male,83,170,22,very_active,2797
male,54,164,22,sedentary,1553
male,73,167,22,sedentary,1803
male,77,152,22,moderate_exercise,2246
male,68,198,21,sedentary,1982
female,70,154,24,light_exercise,1900
male,64,190,23,extra_active,2948
male,71,192,24,very_active,2810
female,58,156,18,moderate_exercise,2021
male,93,186,19,extra_active,3489
female,43,164,22,extra_active,2250
male,75,191,21,light_exercise,2307
male,54,170,23,moderate_exercise,2056
male,77,151,23,extra_active,2732
male,69,179,21,very_active,2661
female,71,166,21,extra_active,2815
male,92,179,19,extra_active,3387
male,82,163,23,very_active,2696
male,70,167,21,moderate_exercise,2291
male,75,153,21,extra_active,2736
male,55,154,24,moderate_exercise,1909
male,92,179,22,moderate_exercise,2740
male,78,166,21,light_exercise,2133
male,90,185,22,extra_active,3392
female,85,154,19,extra_active,2957
male,85,161,22,extra_active,3012
female,79,161,21,very_active,2640
female,51,151,18,very_active,2075
female,52,170,19,extra_active,2520
female,42,167,18,light_exercise,1668
male,70,165,22,extra_active,2774
male,80,198,22,extra_active,3356
male,84,173,18,moderate_exercise,2589
female,54,167,23,sedentary,1569
male,67,167,21,extra_active,2751
female,62,160,20,very_active,2344
female,51,150,23,very_active,2021
female,77,157,21,sedentary,1782
female,81,150,18,extra_active,2843
male,61,176,21,light_exercise,1986
female,61,179,23,extra_active,2760
male,56,174,22,extra_active,2615
male,71,177,19,light_exercise,2145
female,44,173,18,moderate_exercise,1969
female,72,172,18,light_exercise,2123
male,57,168,23,light_exercise,1848
male,64,160,19,very_active,2387
female,88,164,20,very_active,2836
male,55,185,20,sedentary,1734
male,90,191,23,sedentary,2181
female,83,160,18,light_exercise,2171
male,54,197,19,sedentary,1818
female,42,157,22,extra_active,2147
male,71,152,19,extra_active,2668
female,41,154,23,extra_active,2083
female,73,151,23,extra_active,2656
female,73,152,21,extra_active,2687
male,74,154,21,light_exercise,1975
male,58,195,21,light_exercise,2108
male,96,181,19,light_exercise,2523
female,64,159,19,extra_active,2618
male,61,199,23,very_active,2722
female,63,167,18,very_active,2454
male,61,177,18,very_active,2528
male,61,179,22,moderate_exercise,2260
male,55,152,23,extra_active,2326
female,86,171,23,very_active,2851
female,86,176,18,sedentary,2051
female,77,171,21,moderate_exercise,2438
female,64,164,19,light_exercise,1937
female,62,157,21,moderate_exercise,2070
female,55,174,20,extra_active,2615
female,71,170,24,light_exercise,2051
male,58,181,22,extra_active,2736
female,49,179,23,very_active,2299
female,47,165,24,moderate_exercise,1891
female,55,174,21,very_active,2366
male,67,177,23,light_exercise,2063
female,67,165,22,very_active,2467
male,89,150,19,moderate_exercise,2436
female,62,153,23,very_active,2243
male,84,180,23,light_exercise,2322
female,79,168,19,moderate_exercise,2455
female,66,159,20,extra_active,2646
male,54,175,21,moderate_exercise,2120
female,74,167,22,extra_active,2874
male,71,196,18,moderate_exercise,2610
male,89,166,24,very_active,2840
male,86,163,21,light_exercise,2218
male,96,173,22,light_exercise,2434
male,69,157,19,extra_active,2689
female,81,174,24,sedentary,1940
male,62,165,19,sedentary,1674
male,67,186,20,moderate_exercise,2436
female,77,158,22,moderate_exercise,2304
male,95,168,23,moderate_exercise,2672
male,89,183,18,moderate_exercise,2763
male,56,178,21,very_active,2426
male,81,183,22,very_active,2903
female,85,150,21,light_exercise,2092
female,74,167,24,light_exercise,2066
female,60,152,24,moderate_exercise,1967
male,78,192,23,moderate_exercise,2641
female,53,169,20,moderate_exercise,2054
female,55,177,23,very_active,2381
female,83,159,18,extra_active,2988
male,67,155,21,sedentary,1647
female,42,152,18,moderate_exercise,1734
male,68,194,21,very_active,2806
female,50,179,21,light_exercise,1860
male,77,198,24,very_active,2978
male,69,164,18,light_exercise,2013
female,58,154,18,sedentary,1550
male,97,177,19,sedentary,2184
male,52,178,18,light_exercise,1900
male,81,153,23,light_exercise,2049
female,49,161,24,light_exercise,1671
female,80,176,19,moderate_exercise,2548
female,46,174,20,extra_active,2444
female,67,178,22,sedentary,1814
male,81,173,23,moderate_exercise,2504
male,62,161,23,sedentary,1620
male,79,186,19,light_exercise,2333
male,99,179,23,moderate_exercise,2841
female,71,160,18,extra_active,2772
male,64,191,20,extra_active,2988
female,70,173,21,very_active,2614
male,81,197,19,moderate_exercise,2767
male,59,180,24,very_active,2474
male,89,163,22,sedentary,1965
female,58,155,21,sedentary,1539
female,75,150,24,extra_active,2672
female,86,152,24,moderate_exercise,2370
male,94,166,24,extra_active,3223
male,87,173,19,very_active,2924
female,50,157,20,sedentary,1464
male,54,195,23,sedentary,1779
female,45,162,22,extra_active,2264
male,57,179,18,sedentary,1725
female,54,177,24,sedentary,1638
male,68,155,19,moderate_exercise,2159
male,78,159,19,extra_active,2884
female,84,173,23,light_exercise,2262
male,68,180,22,light_exercise,2109
female,69,158,19,extra_active,2701
female,50,166,23,extra_active,2397
male,72,194,22,sedentary,1994
female,55,169,23,extra_active,2527
male,59,154,22,very_active,2211
female,42,159,23,very_active,1963
male,53,171,20,light_exercise,1839
male,99,152,18,moderate_exercise,2618
male,93,174,19,light_exercise,2422
male,87,194,23,extra_active,3432
female,69,166,20,extra_active,2786
female,70,167,22,sedentary,1767
female,60,166,22,sedentary,1640
female,66,151,21,light_exercise,1839
male,94,160,19,moderate_exercise,2610
female,73,152,24,very_active,2413
male,56,152,21,moderate_exercise,1928
male,81,182,18,sedentary,2036
male,91,197,22,sedentary,2244
male,99,195,22,extra_active,3682
female,61,151,19,light_exercise,1784
male,54,172,19,very_active,2344
male,52,194,24,moderate_exercise,2250
male,96,163,19,very_active,2972
female,88,163,18,sedentary,1977
male,98,176,22,sedentary,2171
male,55,190,24,very_active,2512
male,74,180,18,moderate_exercise,2502
male,81,153,20,moderate_exercise,2333
male,87,153,18,very_active,2717
male,69,192,23,extra_active,3067
male,79,194,20,very_active,3004
female,51,158,21,light_exercise,1693
female,69,161,23,light_exercise,1953
male,73,179,20,moderate_exercise,2461
female,74,154,19,sedentary,1736
male,52,176,21,sedentary,1625
male,78,184,21,very_active,2870
female,82,179,18,very_active,2911
male,82,197,20,extra_active,3401
female,50,178,20,moderate_exercise,2095
male,61,161,20,moderate_exercise,2101
female,79,153,18,extra_active,2841
male,90,154,24,very_active,2728
female,57,173,23,sedentary,1650
female,52,175,20,extra_active,2570
male,71,160,23,light_exercise,1972
female,49,169,18,sedentary,1554
male,60,188,18,light_exercise,2096
female,58,170,23,very_active,2357
male,94,165,22,light_exercise,2338
female,86,175,20,very_active,2920
female,66,179,24,very_active,2584
male,94,170,19,extra_active,3318
female,63,160,19,moderate_exercise,2130
male,79,196,23,very_active,3000
female,79,173,23,moderate_exercise,2473
female,75,177,21,light_exercise,2187
female,79,164,21,sedentary,1859
female,68,157,22,moderate_exercise,2155
female,80,167,21,moderate_exercise,2446
female,68,173,18,extra_active,2869
female,51,155,24,sedentary,1437
female,60,163,19,moderate_exercise,2112
male,96,188,19,moderate_exercise,2912
male,56,160,18,light_exercise,1800
female,72,166,19,light_exercise,2065
female,51,157,19,moderate_exercise,1915
male,79,165,19,light_exercise,2152
female,76,151,20,light_exercise,1984
female,46,176,19,very_active,2249
male,76,176,23,extra_active,3010
female,73,158,22,light_exercise,1989
female,47,175,20,extra_active,2475
male,68,187,20,moderate_exercise,2461
male,74,185,23,extra_active,3078
female,63,169,23,very_active,2433
female,82,169,23,moderate_exercise,2480
female,72,161,24,extra_active,2746
male,89,154,23,light_exercise,2168
female,41,150,24,very_active,1840
female,55,150,24,extra_active,2292
female,69,152,21,sedentary,1649
female,55,163,21,sedentary,1563
